Cities,Country,Date,Latitude,Longitude,Temp,Humidity,Windspeed,Cloudiness
karlshamn,SE,1612982217,56.1706,14.8619,23.0,86,8.05,75
ust-maya,RU,1612982218,60.4167,134.5333,-12.21,88,1.41,100
huanren,CN,1612982218,41.2647,125.3667,21.4,95,2.13,0
tebingtinggi,ID,1612982218,3.3285,99.1625,77.0,94,3.31,75
rensvik,NO,1612982218,63.1,7.8167,19.4,63,5.75,0
kirakira,SB,1612982218,-10.4544,161.9205,79.12,79,3.51,98
verkhnevilyuysk,RU,1612982218,63.4453,120.3167,-19.21,87,5.03,88
hualmay,PE,1612982219,-11.0964,-77.6139,77.63,59,8.81,77
kaffrine,SN,1612982219,14.1059,-15.5508,96.8,12,6.91,0
christchurch,NZ,1612982006,-43.5333,172.6333,59.0,41,12.66,0
ca mau,VN,1612982219,9.1769,105.15,74.89,88,5.75,16
konstantinovskaya,RU,1612982219,44.0456,43.1583,53.6,54,15.66,100
sinnar,SD,1612982219,13.5691,33.5672,78.96,17,10.45,0
broome,US,1612982219,42.2506,-75.833,25.0,45,8.05,1
parana,AR,1612982220,-31.732,-60.5238,84.99,53,1.99,100
juazeiro,BR,1612982220,-9.4117,-40.4986,91.4,38,8.05,20
soe,ID,1612982220,-9.8607,124.284,66.85,89,3.44,100
tiebissou,CI,1612982220,7.1574,-5.2257,93.2,40,2.3,20
lorengau,PG,1612982220,-2.0226,147.2712,76.26,92,26.73,100
mumford,GH,1612982220,5.2618,-0.759,82.67,81,13.15,0
qaqortoq,GL,1612982220,60.7167,-46.0333,32.0,25,25.32,20
dickinson,US,1612982221,29.4608,-95.0513,68.0,100,4.61,90
hasaki,JP,1612982221,35.7333,140.8333,37.4,65,4.61,20
kargasok,RU,1612981930,59.0556,80.8572,-8.99,90,9.51,100
aguimes,ES,1612982221,27.9054,-15.4461,68.0,68,10.36,75
watertown,US,1612982221,42.3709,-71.1828,32.0,47,14.97,75
berlevag,NO,1612982222,70.8578,29.0864,23.0,63,20.71,75
west plains,US,1612982222,36.7281,-91.8524,25.0,86,5.75,90
nantucket,US,1612982104,41.2835,-70.0995,28.99,64,13.8,1
preobrazheniye,RU,1612982222,42.9019,133.9064,21.36,90,9.46,0
caravelas,BR,1612982223,-17.7125,-39.2481,82.26,64,9.01,0
shingu,JP,1612982223,33.7333,135.9833,39.79,75,6.67,12
axim,GH,1612982223,4.8699,-2.2405,81.1,81,9.91,43
acarau,BR,1612982223,-2.8856,-40.12,84.74,66,17.87,100
praia da vitoria,PT,1612982223,38.7333,-27.0667,62.6,63,16.28,20
etchojoa,MX,1612982223,26.9167,-109.6333,70.0,70,7.0,0
luanda,AO,1612982224,-8.8368,13.2343,82.4,74,8.05,20
cerrik,AL,1612982224,41.0317,19.9758,55.4,76,6.91,90
waddan,LY,1612982224,29.1614,16.139,67.96,22,7.67,0
ugoofaaru,MV,1612982224,5.6667,73.0,81.25,65,5.95,0
gamboma,CG,1612982224,-1.8764,15.8644,82.47,52,2.73,100
ola,RU,1612982224,59.5833,151.2833,16.38,90,20.07,81
oranjemund,NA,1612982225,-28.55,16.4333,65.89,81,10.65,14
flin flon,CA,1612982225,54.7682,-101.865,-23.8,69,3.44,20
adrar,MR,1612982225,20.5022,-10.0711,72.0,17,9.48,85
bandar-e lengeh,IR,1612982225,26.5579,54.8807,68.0,52,4.61,0
jaypur,IN,1612982225,18.85,82.5833,61.12,37,2.98,0
ikongo,MG,1612982225,-21.8833,47.4333,69.53,91,0.94,100
okha,RU,1612982226,53.5739,142.9478,21.04,97,15.14,100
waitati,NZ,1612982226,-45.75,170.5667,57.0,63,8.01,100
carberry,CA,1612982226,49.8689,-99.3602,-16.6,63,13.8,1
matadi,CD,1612982226,-5.8167,13.45,77.59,83,0.87,100
chilliwack,CA,1612982226,49.1747,-121.9443,23.0,39,5.75,100
tateyama,JP,1612982226,34.9833,139.8667,48.2,66,16.11,20
soto la marina,MX,1612982226,23.7667,-98.2167,82.99,67,11.99,3
san cristobal,VE,1612982227,7.7669,-72.225,80.6,65,10.36,75
melfi,IT,1612982227,40.9965,15.6514,48.99,88,5.99,100
chumikan,RU,1612982227,54.7183,135.315,4.5,88,18.81,100
ara,IN,1612982227,25.5667,84.6667,55.4,88,3.09,20
kumano,JP,1612982227,34.3442,132.5894,37.99,15,5.01,80
udachnyy,RU,1612982227,66.4167,112.4,-21.48,85,5.77,83
yerbogachen,RU,1612982228,61.2767,108.0108,-8.88,88,4.76,99
mariakani,KE,1612982228,-3.8633,39.4736,80.6,78,8.05,20
sur,OM,1612982228,22.5667,59.5289,67.32,71,3.62,23
oksfjord,NO,1612982228,70.2396,22.3479,19.4,68,4.72,40
abu dhabi,AE,1612982228,24.4667,54.3667,71.6,88,4.61,0
digby,CA,1612982228,44.6169,-65.7655,24.8,54,5.75,46
hami,CN,1612982228,42.8,93.45,30.4,82,7.16,99
atlantic city,US,1612982064,39.3643,-74.4229,39.0,55,8.05,1
diamantino,BR,1612982229,-14.4086,-56.4461,88.79,52,4.61,94
manama,BH,1612981948,26.2154,50.5832,66.2,77,8.05,1
los llanos de aridane,ES,1612981940,28.6585,-17.9182,68.0,68,6.38,75
chiredzi,ZW,1612982229,-21.05,31.6667,73.58,87,4.65,100
mongo,TD,1612982229,12.1844,18.693,72.0,19,4.36,0
mityana,UG,1612982230,0.4175,32.0228,75.2,83,9.22,20
tiruchchendur,IN,1612982230,8.4833,78.1167,76.06,72,15.64,100
la peca,PE,1612982230,-5.6111,-78.435,89.08,44,0.63,74
ostersund,SE,1612982230,63.1792,14.6357,5.0,92,6.91,0
mogadishu,SO,1612982198,2.0371,45.3438,77.36,78,24.4,81
talakan,RU,1612982231,50.3167,130.3667,-1.05,89,2.82,100
kaeo,NZ,1612982231,-35.1,173.7833,62.01,96,3.0,100
chicama,PE,1612982231,-7.8447,-79.1469,73.4,78,9.22,20
batagay-alyta,RU,1612982231,67.8006,130.4114,-9.53,82,1.52,1
karpogory,RU,1612982231,64.0019,44.4451,-7.87,91,4.18,86
fort nelson,CA,1612982231,58.8053,-122.7002,-7.6,71,2.3,90
ilhabela,BR,1612982231,-23.7781,-45.3581,77.5,77,6.4,100
dunedin,NZ,1612982232,-45.8742,170.5036,57.0,59,8.46,100
palmer,US,1612982232,42.1584,-72.3287,30.0,59,1.99,100
bathsheba,BB,1612982232,13.2167,-59.5167,84.2,54,23.02,40
terrace bay,CA,1612982232,48.7834,-87.1,-4.0,54,8.05,75
peschanokopskoye,RU,1612982232,46.1961,41.0775,45.18,84,9.84,91
chinsali,ZM,1612982233,-10.5414,32.0816,64.72,93,3.13,100
manuk mangkaw,PH,1612982233,4.8,119.85,82.8,70,2.64,8
santa isabel do rio negro,BR,1612982233,-0.4139,-65.0192,91.4,49,4.56,95
caratinga,BR,1612982233,-19.7897,-42.1392,86.0,54,5.75,20
machilipatnam,IN,1612982233,16.1667,81.1333,71.51,77,4.14,87
tierralta,CO,1612982234,8.1736,-76.0592,90.16,52,3.22,34
napier,NZ,1612982195,-39.4833,176.9167,66.0,86,3.0,91
kristiansund,NO,1612982234,63.1115,7.732,19.4,63,5.75,0
saint-louis,SN,1612982234,16.3333,-15.0,91.4,19,2.3,0
ust-nera,RU,1612982234,64.5667,143.2,3.31,85,7.11,24
kushima,JP,1612982234,31.4583,131.2333,47.3,55,4.56,100
sao jose da coroa grande,BR,1612982234,-8.8978,-35.1478,82.04,73,12.24,16
yambio,SS,1612982234,4.5721,28.3955,78.93,25,3.98,100
sao miguel do araguaia,BR,1612982235,-13.275,-50.1628,83.16,71,3.58,85
kavkazskiy,RU,1612982235,44.2672,42.2347,53.6,54,15.66,100
lata,PT,1612982235,40.1629,-8.3327,57.99,86,1.01,100
gimli,CA,1612982235,50.6336,-96.9907,-14.8,64,6.64,100
juneau,US,1612982033,58.3019,-134.4197,15.8,48,12.66,1
shakhtinsk,KZ,1612982235,49.71,72.5872,-11.2,70,6.71,0
tukrah,LY,1612982235,32.5341,20.5791,61.77,41,9.35,0
waipawa,NZ,1612982236,-41.4122,175.5153,61.0,59,16.11,60
half moon bay,US,1612982236,37.4636,-122.4286,57.99,82,5.75,75
cody,US,1612982007,44.5263,-109.0565,5.0,56,5.99,75
kiryas joel,US,1612982236,41.342,-74.1679,30.99,59,6.91,20
miri,MY,1612982236,4.4148,114.0089,78.8,94,1.14,40
tuatapere,NZ,1612982237,-46.1333,167.6833,50.85,91,15.7,100
deputatskiy,RU,1612982237,69.3,139.9,-23.24,88,3.38,9
bhubaneswar,IN,1612982206,20.2333,85.8333,68.0,83,4.29,0
shache,CN,1612982237,38.4167,77.2406,45.07,50,5.61,72
mocuba,MZ,1612982237,-16.8392,36.9856,75.87,97,3.42,100
ouadda,CF,1612982238,8.0777,22.4007,71.87,22,4.25,94
belaya gora,RU,1612982238,68.5333,146.4167,-18.6,89,0.36,1
louis trichardt,ZA,1612982238,-23.0439,29.9032,69.87,79,8.9,14
miyazu,JP,1612982238,35.5333,135.1833,38.26,80,6.13,56
valerianovsk,RU,1612982238,58.76,59.5522,-18.42,84,3.13,4
svobodnyy,RU,1612982238,51.4,128.1333,-0.42,93,6.24,100
calabar,NG,1612982238,4.9517,8.322,82.8,73,6.82,0
havre,FR,1612982239,49.5833,0.3333,28.4,69,6.91,0
pilar,BR,1612982239,-9.5972,-35.9567,82.4,74,10.36,75
buala,SB,1612982239,-8.145,159.5921,80.2,81,7.7,29
sturgis,US,1612982239,41.7992,-85.4192,21.2,58,3.44,90
catu,BR,1612982239,-12.3531,-38.3789,87.8,58,11.5,40
havoysund,NO,1612982239,70.9963,24.6622,24.8,86,11.5,75
mettet,BE,1612982240,50.3212,4.6623,24.8,86,8.05,90
iberia,US,1612982240,29.9502,-91.7507,72.0,100,11.5,90
lethem,GY,1612982240,3.3803,-59.7968,89.6,55,13.8,75
ixtapa,MX,1612982240,20.7,-105.2,73.4,64,8.05,1
